Location,parameter,value,unit,parameter,value ,unit ,parameter,value,unit,datetimeUtc,timezone
Heilbronn,co,400,µg/m3,no,1.2,µg/m3,no2,33.11,µg/m3,2022-06-16T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,20.5,µg/m3,no2,22.58,µg/m3,2022-06-17T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,12.6,µg/m3,no2,11.023,µg/m3,2022-06-18T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,13.6,µg/m3,no2,9.436,µg/m3,2022-06-19T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,8.4,µg/m3,no2,23.536,µg/m3,2022-06-20T00:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,2.5,µg/m3,no2,19.652,µg/m3,2022-06-21T00:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,0.6,µg/m3,no2,6.882,µg/m3,2022-06-21T01:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,0.4,µg/m3,no2,27.493,µg/m3,2022-06-22T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,2.6,µg/m3,no2,9.343,µg/m3,2022-06-23T00:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,8.7,µg/m3,no2,8.429,µg/m3,2022-06-24T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,21.1,µg/m3,no2,9.302,µg/m3,2022-06-26T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,36.9,µg/m3,no2,11.315,µg/m3,2022-06-28T00:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,28.5,µg/m3,no2,6.257,µg/m3,2022-06-28T01:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,25.4,µg/m3,no2,22.814,µg/m3,2022-06-29T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,25.8,µg/m3,no2,17.637,µg/m3,2022-06-30T00:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,18.8,µg/m3,no2,11.766,µg/m3,2022-07-01T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,18.3,µg/m3,no2,8.889,µg/m3,2022-07-03T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,22.8,µg/m3,no2,8.505,µg/m3,2022-07-06T00:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,26,µg/m3,no2,10.91,µg/m3,2022-07-07T00:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,28.4,µg/m3,no2,24.007,µg/m3,2022-07-07T01:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,26.7,µg/m3,no2,34.346,µg/m3,2022-07-07T02:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,26.3,µg/m3,no2,44.546,µg/m3,2022-07-07T03:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,27.9,µg/m3,no2,12.694,µg/m3,2022-07-07T04:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,22,µg/m3,no2,24.498,µg/m3,2022-07-07T05:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,41,µg/m3,no2,17.091,µg/m3,2022-07-07T06:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,25.8,µg/m3,no2,24.335,µg/m3,2022-07-08T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,28.6,µg/m3,no2,13.293,µg/m3,2022-07-09T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,19,µg/m3,no2,8.665,µg/m3,2022-07-09T01:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,8.4,µg/m3,no2,14.739,µg/m3,2022-07-10T00:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,3.4,µg/m3,no2,13.91,µg/m3,2022-07-11T00:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,1.3,µg/m3,no2,28.458,µg/m3,2022-07-12T00:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,1.3,µg/m3,no2,12.382,µg/m3,2022-07-12T01:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,10.2,µg/m3,no2,19.961,µg/m3,2022-07-13T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,14.2,µg/m3,no2,26.432,µg/m3,2022-07-14T00:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,31.7,µg/m3,no2,25.93,µg/m3,2022-07-15T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,26.6,µg/m3,no2,11.557,µg/m3,2022-07-16T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,28.8,µg/m3,no2,15.417,µg/m3,2022-07-16T01:00:00Z,Europe/Berlin
Heilbronn,co,500,µg/m3,no,28.1,µg/m3,no2,14.44,µg/m3,2022-07-17T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,30.6,µg/m3,no2,11.959,µg/m3,2022-07-17T01:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,33.9,µg/m3,no2,20.465,µg/m3,2022-07-18T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,26.4,µg/m3,no2,36.668,µg/m3,2022-07-19T00:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,27.1,µg/m3,no2,11.693,µg/m3,2022-07-19T01:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,39.2,µg/m3,no2,17.536,µg/m3,2022-07-19T03:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,28.3,µg/m3,no2,7.652,µg/m3,2022-07-20T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,28.4,µg/m3,no2,7.022,µg/m3,2022-07-21T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,30.7,µg/m3,no2,9.245,µg/m3,2022-07-22T00:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,19.5,µg/m3,no2,8.72,µg/m3,2022-07-28T00:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,18.4,µg/m3,no2,14.497,µg/m3,2022-07-28T01:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,23.3,µg/m3,no2,24.865,µg/m3,2022-07-28T02:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,9.4,µg/m3,no2,28.19,µg/m3,2022-07-28T03:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,16.3,µg/m3,no2,25.612,µg/m3,2022-07-28T04:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,5.1,µg/m3,no2,24.507,µg/m3,2022-07-28T05:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,6.9,µg/m3,no2,10.924,µg/m3,2022-07-28T06:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,1.8,µg/m3,no2,22.252,µg/m3,2022-07-28T07:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,2.5,µg/m3,no2,14.445,µg/m3,2022-07-28T08:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,9.8,µg/m3,no2,14.018,µg/m3,2022-07-29T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,6,µg/m3,no2,11.427,µg/m3,2022-07-30T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,6.7,µg/m3,no2,21.498,µg/m3,2022-07-30T01:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,7.3,µg/m3,no2,20.301,µg/m3,2022-07-30T02:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,30.5,µg/m3,no2,22.541,µg/m3,2022-08-01T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,84.6,µg/m3,no2,6.356,µg/m3,2022-08-02T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,99.3,µg/m3,no2,6.123,µg/m3,2022-08-03T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,50.9,µg/m3,no2,13.089,µg/m3,2022-08-04T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,26.3,µg/m3,no2,25.616,µg/m3,2022-08-05T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,23.1,µg/m3,no2,29.48,µg/m3,2022-08-06T00:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,22.2,µg/m3,no2,12.266,µg/m3,2022-08-06T01:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,20.3,µg/m3,no2,13.74,µg/m3,2022-08-07T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,25,µg/m3,no2,18.96,µg/m3,2022-08-08T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,29.5,µg/m3,no2,16.662,µg/m3,2022-08-09T00:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,16,µg/m3,no2,14.516,µg/m3,2022-08-10T00:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,22.9,µg/m3,no2,18.982,µg/m3,2022-08-11T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,19.5,µg/m3,no2,30.547,µg/m3,2022-08-13T00:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,11.9,µg/m3,no2,20.268,µg/m3,2022-08-13T01:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,14.7,µg/m3,no2,12.721,µg/m3,2022-08-13T02:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,4.8,µg/m3,no2,17.393,µg/m3,2022-08-14T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,15.4,µg/m3,no2,20.174,µg/m3,2022-08-14T01:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,23.5,µg/m3,no2,7.544,µg/m3,2022-08-16T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,23.8,µg/m3,no2,7.648,µg/m3,2022-08-17T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,34.8,µg/m3,no2,13.248,µg/m3,2022-08-18T00:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,51.2,µg/m3,no2,15.036,µg/m3,2022-08-18T01:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,41.3,µg/m3,no2,29.865,µg/m3,2022-08-18T02:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,19.4,µg/m3,no2,42.954,µg/m3,2022-08-18T03:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,13.5,µg/m3,no2,17.694,µg/m3,2022-08-18T05:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,7.4,µg/m3,no2,16.157,µg/m3,2022-08-18T06:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,6.1,µg/m3,no2,23.161,µg/m3,2022-08-19T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,6.7,µg/m3,no2,24.733,µg/m3,2022-08-20T13:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,6.5,µg/m3,no2,22.954,µg/m3,2022-08-20T14:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,8.4,µg/m3,no2,29.01,µg/m3,2022-08-20T15:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,10.1,µg/m3,no2,34.064,µg/m3,2022-08-20T16:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,19.9,µg/m3,no2,41.978,µg/m3,2022-08-20T17:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,31.1,µg/m3,no2,37.732,µg/m3,2022-08-20T18:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,19.3,µg/m3,no2,35.278,µg/m3,2022-08-20T19:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,19.4,µg/m3,no2,29.301,µg/m3,2022-08-20T20:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,15.3,µg/m3,no2,27.271,µg/m3,2022-08-20T21:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,10.6,µg/m3,no2,19.95,µg/m3,2022-08-20T22:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,5.1,µg/m3,no2,19.18,µg/m3,2022-08-20T23:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,3.7,µg/m3,no2,13.372,µg/m3,2022-08-21T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,4.4,µg/m3,no2,17.522,µg/m3,2022-08-21T01:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,2.8,µg/m3,no2,14.917,µg/m3,2022-08-21T02:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,4.1,µg/m3,no2,18.277,µg/m3,2022-08-21T03:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,4.1,µg/m3,no2,17.026,µg/m3,2022-08-21T04:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,6.5,µg/m3,no2,17.5,µg/m3,2022-08-21T05:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,9.2,µg/m3,no2,16.37,µg/m3,2022-08-21T06:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,12.1,µg/m3,no2,18.595,µg/m3,2022-08-21T07:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,14.2,µg/m3,no2,17.497,µg/m3,2022-08-21T08:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,18,µg/m3,no2,22.459,µg/m3,2022-08-21T09:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,17.2,µg/m3,no2,15.756,µg/m3,2022-08-21T10:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,11.4,µg/m3,no2,17.31,µg/m3,2022-08-21T11:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,11.4,µg/m3,no2,16.065,µg/m3,2022-08-21T12:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,18,µg/m3,no2,19.729,µg/m3,2022-08-21T13:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,19.5,µg/m3,no2,19.41,µg/m3,2022-08-21T14:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,14.1,µg/m3,no2,27.719,µg/m3,2022-08-21T15:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,12.2,µg/m3,no2,30.294,µg/m3,2022-08-21T16:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,13,µg/m3,no2,44.363,µg/m3,2022-08-21T17:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,9,µg/m3,no2,35.539,µg/m3,2022-08-21T18:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,26.5,µg/m3,no2,37.08,µg/m3,2022-08-21T19:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,9.5,µg/m3,no2,22.705,µg/m3,2022-08-21T20:00:00Z,Europe/Berlin
Heilbronn,co,600,µg/m3,no,5.8,µg/m3,no2,22.479,µg/m3,2022-08-21T21:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,2.8,µg/m3,no2,22.416,µg/m3,2022-08-21T22:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,0.8,µg/m3,no2,19.406,µg/m3,2022-08-21T23:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,0.3,µg/m3,no2,19.27,µg/m3,2022-08-22T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,3.6,µg/m3,no2,26.166,µg/m3,2022-08-22T01:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,5.5,µg/m3,no2,34.615,µg/m3,2022-08-22T02:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,43.7,µg/m3,no2,38.51,µg/m3,2022-08-22T03:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,49.1,µg/m3,no2,45.921,µg/m3,2022-08-22T04:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,27.8,µg/m3,no2,36.22,µg/m3,2022-08-22T05:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,23,µg/m3,no2,34.908,µg/m3,2022-08-22T06:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,18.6,µg/m3,no2,15.153,µg/m3,2022-08-22T07:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,20,µg/m3,no2,32.229,µg/m3,2022-08-22T08:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,14.8,µg/m3,no2,36.946,µg/m3,2022-08-23T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,17.8,µg/m3,no2,19.161,µg/m3,2022-08-23T02:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,12.8,µg/m3,no2,19.874,µg/m3,2022-08-24T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,11.7,µg/m3,no2,17.031,µg/m3,2022-08-25T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,19.4,µg/m3,no2,13.847,µg/m3,2022-08-27T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,10.5,µg/m3,no2,30.675,µg/m3,2022-08-27T01:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,10.4,µg/m3,no2,14.224,µg/m3,2022-08-27T02:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,10.3,µg/m3,no2,18.476,µg/m3,2022-08-28T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,4.3,µg/m3,no2,13.051,µg/m3,2022-08-29T00:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,4.9,µg/m3,no2,12.419,µg/m3,2022-08-30T00:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,1.1,µg/m3,no2,14.575,µg/m3,2022-08-30T01:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,0.3,µg/m3,no2,11.175,µg/m3,2022-08-30T02:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,0.6,µg/m3,no2,15.574,µg/m3,2022-08-30T03:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,4,µg/m3,no2,11.419,µg/m3,2022-08-31T00:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,21.5,µg/m3,no2,21.502,µg/m3,2022-09-01T00:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,31.4,µg/m3,no2,27.327,µg/m3,2022-09-02T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,27.1,µg/m3,no2,14.465,µg/m3,2022-09-03T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,16,µg/m3,no2,18.264,µg/m3,2022-09-03T01:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,9.4,µg/m3,no2,19.805,µg/m3,2022-09-04T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,12.1,µg/m3,no2,30.152,µg/m3,2022-09-05T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,9.8,µg/m3,no2,14.243,µg/m3,2022-09-06T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,10.3,µg/m3,no2,41.497,µg/m3,2022-09-07T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,9.6,µg/m3,no2,13.257,µg/m3,2022-09-08T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,12.7,µg/m3,no2,10.162,µg/m3,2022-09-09T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,14.5,µg/m3,no2,15.141,µg/m3,2022-09-10T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,17.1,µg/m3,no2,31.375,µg/m3,2022-09-11T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,12.2,µg/m3,no2,31.632,µg/m3,2022-09-12T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,7.2,µg/m3,no2,27.741,µg/m3,2022-09-13T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,3.3,µg/m3,no2,22.177,µg/m3,2022-09-13T01:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,4,µg/m3,no2,13.161,µg/m3,2022-09-13T02:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,2.8,µg/m3,no2,23.057,µg/m3,2022-09-14T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,2,µg/m3,no2,17.157,µg/m3,2022-09-15T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,1,µg/m3,no2,16.238,µg/m3,2022-09-17T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,0.7,µg/m3,no2,15.053,µg/m3,2022-09-17T01:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,0.8,µg/m3,no2,13.851,µg/m3,2022-09-18T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,3.6,µg/m3,no2,11.2,µg/m3,2022-09-19T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,10,µg/m3,no2,18.657,µg/m3,2022-09-21T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,37,µg/m3,no2,23.859,µg/m3,2022-09-23T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,47.9,µg/m3,no2,17.625,µg/m3,2022-09-24T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,33.2,µg/m3,no2,4.034,µg/m3,2022-09-26T00:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,19.6,µg/m3,no2,6.245,µg/m3,2022-09-27T00:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,17.3,µg/m3,no2,18.079,µg/m3,2022-09-28T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,38.1,µg/m3,no2,20.085,µg/m3,2022-09-29T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,31.4,µg/m3,no2,30.563,µg/m3,2022-09-30T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,17.7,µg/m3,no2,26.658,µg/m3,2022-10-01T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,23.6,µg/m3,no2,13.478,µg/m3,2022-10-01T01:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,16.1,µg/m3,no2,20.758,µg/m3,2022-10-01T02:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,7.5,µg/m3,no2,12.634,µg/m3,2022-10-02T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,4.6,µg/m3,no2,15.594,µg/m3,2022-10-03T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,5.6,µg/m3,no2,25.113,µg/m3,2022-10-04T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,4.6,µg/m3,no2,35.663,µg/m3,2022-10-05T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,6.3,µg/m3,no2,31.18,µg/m3,2022-10-06T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,6.2,µg/m3,no2,27.287,µg/m3,2022-10-07T00:00:00Z,Europe/Berlin
Heilbronn,co,700,µg/m3,no,6.6,µg/m3,no2,26.128,µg/m3,2022-10-08T00:00:00Z,Europe/Berlin
Heilbronn,co,500,µg/m3,no,2.2,µg/m3,no2,22.001,µg/m3,2022-10-09T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,0.8,µg/m3,no2,12.932,µg/m3,2022-10-09T01:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,1,µg/m3,no2,28.205,µg/m3,2022-10-09T02:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,7.3,µg/m3,no2,22.913,µg/m3,2022-10-10T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,21.4,µg/m3,no2,18.268,µg/m3,2022-10-11T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,65.3,µg/m3,no2,20.211,µg/m3,2022-10-11T01:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,111.3,µg/m3,no2,13.825,µg/m3,2022-10-12T00:00:00Z,Europe/Berlin
Heilbronn,co,500,µg/m3,no,51.8,µg/m3,no2,9.998,µg/m3,2022-10-13T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,21.6,µg/m3,no2,8.671,µg/m3,2022-10-14T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,21.3,µg/m3,no2,20.89,µg/m3,2022-10-15T00:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,13.7,µg/m3,no2,15.325,µg/m3,2022-10-15T01:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,15.7,µg/m3,no2,20.971,µg/m3,2022-10-16T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,25.7,µg/m3,no2,15.636,µg/m3,2022-10-17T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,28.3,µg/m3,no2,12.323,µg/m3,2022-10-18T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,32.4,µg/m3,no2,15.974,µg/m3,2022-10-19T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,3.8,µg/m3,no2,14.402,µg/m3,2022-10-20T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,2.3,µg/m3,no2,7.498,µg/m3,2022-10-21T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,1.4,µg/m3,no2,16.643,µg/m3,2022-10-22T00:00:00Z,Europe/Berlin
Heilbronn,co,100,µg/m3,no,7.1,µg/m3,no2,6.322,µg/m3,2022-10-22T02:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,65.8,µg/m3,no2,17.842,µg/m3,2022-10-23T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,144.1,µg/m3,no2,25.151,µg/m3,2022-10-24T00:00:00Z,Europe/Berlin
Heilbronn,co,500,µg/m3,no,111.4,µg/m3,no2,8.489,µg/m3,2022-10-28T00:00:00Z,Europe/Berlin
Heilbronn,co,400,µg/m3,no,75.8,µg/m3,no2,26.135,µg/m3,2022-11-03T00:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,76.1,µg/m3,no2,20.628,µg/m3,2022-11-04T00:00:00Z,Europe/Berlin
Heilbronn,co,500,µg/m3,no,38,µg/m3,no2,16.278,µg/m3,2022-11-05T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,23.5,µg/m3,no2,28.373,µg/m3,2022-11-05T01:00:00Z,Europe/Berlin
Heilbronn,co,200,µg/m3,no,11.2,µg/m3,no2,17.629,µg/m3,2022-11-05T02:00:00Z,Europe/Berlin
Heilbronn,co,700,µg/m3,no,9.9,µg/m3,no2,37.142,µg/m3,2022-11-06T00:00:00Z,Europe/Berlin
Heilbronn,co,300,µg/m3,no,11,µg/m3,no2,35.719,µg/m3,2022-11-07T00:00:00Z,Europe/Berlin
